Ticker,close,date,high,low,month,open,volume,COMPANY,sector,Symbol,year
SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,2023-10,596.6,15322196,SBI,BANKING,SBIN,2023
BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,2023-10,7780.8,944555,BAJAJ FINANCE,FINANCE,BAJFINANCE,2023
TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,2023-10,3148.8,1007308,TITAN,RETAILING,TITAN,2023
ITC,439.75,2023-10-03 05:30:00,442.9,439.25,2023-10,441.0,7481883,ITC,FOOD & TOBACCO,ITC,2023
TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,2023-10,3534.2,1948148,TCS,SOFTWARE,TCS,2023
LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,2023-10,3040.5,3254492,L&T,ENGINEERING,LT,2023
TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,2023-10,859.32,1168848,,,,2023
RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,2023-10,1164.97,8859056,RELIANCE IND.,ENERGY,RELIANCE,2023
HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,2023-10,1232.5,2162636,HCL TECHNOLOGIES,SOFTWARE,HCLTECH,2023
JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,2023-10,776.55,1099773,JSW STEEL,STEEL,JSWSTEEL,2023
ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,2023-10,8289.0,454402,ULTRATECH CEMENT,CEMENT,ULTRACEMCO,2023
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,2023-10,198.75,10830728,POWER GRID,POWER,POWERGRID,2023
INFY,1434.0,2023-10-03 05:30:00,1437.0,1420.3,2023-10,1436.05,4181867,INFOSYS,SOFTWARE,INFY,2023
TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2023-10,2074.3,543387,TRENT,RETAILING,TRENT,2023
BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,2023-10,918.25,4338272,,,,2023
TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,2023-10,632.6,6894577,TATA MOTORS,AUTOMOBILES,TATAMOTORS,2023
WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,2023-10,406.45,2864052,WIPRO,SOFTWARE,WIPRO,2023
TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,2023-10,1220.6,1622290,TECH MAHINDRA,SOFTWARE,TECHM,2023
NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,2023-10,244.35,14885044,NTPC,POWER,NTPC,2023
HINDUNILVR,2468.9,2023-10-03 05:30:00,2499.0,2461.8,2023-10,2490.0,1585626,HINDUSTAN UNILEVER,FMCG,HINDUNILVR,2023
APOLLOHOSP,5118.95,2023-10-03 05:30:00,5154.95,5066.0,2023-10,5138.95,268482,APOLLO HOSPITALS,MISCELLANEOUS,APOLLOHOSP,2023
M&M,1537.4,2023-10-03 05:30:00,1598.0,1533.05,2023-10,1597.2,3436776,M&M,AUTOMOBILES,M&M,2023
GRASIM,1913.84,2023-10-03 05:30:00,1931.32,1899.1,2023-10,1920.46,591326,GRASIM,TEXTILES,GRASIM,2023
ICICIBANK,940.3,2023-10-03 05:30:00,951.6,939.0,2023-10,951.6,11131636,ICICI BANK,BANKING,ICICIBANK,2023
ADANIENT,2387.25,2023-10-03 05:30:00,2424.9,2372.0,2023-10,2418.0,2019899,,,,2023
ADANIPORTS,831.4,2023-10-03 05:30:00,836.75,824.25,2023-10,826.0,2453090,ADANI PORTS & SEZ,MISCELLANEOUS,ADANIPORTS,2023
BEL,139.2,2023-10-03 05:30:00,140.6,137.2,2023-10,137.9,19010910,BHARAT ELECTRONICS,DEFENCE,BEL,2023
BAJAJFINSV,1561.05,2023-10-03 05:30:00,1564.2,1527.0,2023-10,1530.25,1083086,BAJAJ FINSERV,FINANCE,BAJAJFINSV,2023
EICHERMOT,3351.4,2023-10-03 05:30:00,3434.95,3302.9,2023-10,3426.9,1354075,EICHER MOTORS,AUTOMOBILES,EICHERMOT,2023
COALINDIA,291.9,2023-10-03 05:30:00,297.1,290.1,2023-10,297.05,9348540,COAL INDIA,MINING,COALINDIA,2023
MARUTI,10346.9,2023-10-03 05:30:00,10709.8,10303.3,2023-10,10709.8,623006,MARUTI SUZUKI,AUTOMOBILES,MARUTI,2023
INDUSINDBK,1435.4,2023-10-03 05:30:00,1438.4,1420.0,2023-10,1432.0,1442499,INDUSIND BANK,BANKING,INDUSINDBK,2023
ASIANPAINT,3166.85,2023-10-03 05:30:00,3227.8,3162.0,2023-10,3166.1,1219145,ASIAN PAINTS,PAINTS,ASIANPAINT,2023
TATASTEEL,128.0,2023-10-03 05:30:00,129.1,127.25,2023-10,129.0,18613557,TATA STEEL,STEEL,TATASTEEL,2023
HDFCLIFE,633.55,2023-10-03 05:30:00,637.5,628.55,2023-10,634.45,3454441,HDFC LIFE INSURANCE,INSURANCE,HDFCLIFE,2023
DRREDDY,1092.34,2023-10-03 05:30:00,1117.38,1090.0,2023-10,1117.38,2065240,DR. REDDYS LAB,PHARMACEUTICALS,DRREDDY,2023
SUNPHARMA,1141.45,2023-10-03 05:30:00,1161.95,1139.25,2023-10,1159.55,1946966,SUN PHARMA,PHARMACEUTICALS,SUNPHARMA,2023
KOTAKBANK,1727.05,2023-10-03 05:30:00,1735.0,1715.45,2023-10,1730.0,5534869,KOTAK MAHINDRA BANK,BANKING,KOTAKBANK,2023
SHRIRAMFIN,1921.95,2023-10-03 05:30:00,1939.9,1881.0,2023-10,1938.0,2207907,SHRIRAM FINANCE,FINANCE,SHRIRAMFIN,2023
NESTLEIND,2231.52,2023-10-03 05:30:00,2259.47,2225.52,2023-10,2250.69,500130,NESTLE,FOOD & TOBACCO,NESTLEIND,2023
ONGC,184.6,2023-10-03 05:30:00,189.3,183.65,2023-10,189.3,22118500,ONGC,ENERGY,ONGC,2023
CIPLA,1182.8,2023-10-03 05:30:00,1185.7,1170.95,2023-10,1184.0,1581125,CIPLA,PHARMACEUTICALS,CIPLA,2023
BPCL,170.68,2023-10-03 05:30:00,174.6,170.43,2023-10,174.25,10514554,BPCL,ENERGY,BPCL,2023
BRITANNIA,4495.45,2023-10-03 05:30:00,4553.25,4486.6,2023-10,4524.8,543482,,,,2023
SBILIFE,1292.45,2023-10-03 05:30:00,1302.15,1282.65,2023-10,1302.15,1282289,SBI LIFE INSURANCE,INSURANCE,SBILIFE,2023
HINDALCO,479.95,2023-10-03 05:30:00,484.55,476.6,2023-10,483.1,4657602,HINDALCO,ALUMINIUM,HINDALCO,2023
HEROMOTOCO,3015.6,2023-10-03 05:30:00,3064.9,2991.5,2023-10,3058.0,387906,HERO MOTOCORP,AUTOMOBILES,HEROMOTOCO,2023
AXISBANK,1041.05,2023-10-03 05:30:00,1044.7,1032.6,2023-10,1035.0,11589322,AXIS BANK,BANKING,AXISBANK,2023
HDFCBANK,1508.05,2023-10-03 05:30:00,1527.0,1506.0,2023-10,1527.0,19485847,HDFC BANK,BANKING,HDFCBANK,2023
BAJAJ-AUTO,5016.45,2023-10-03 05:30:00,5073.0,4997.1,2023-10,5065.0,464531,BAJAJ AUTO,AUTOMOBILES,BAJAJ-AUTO,2023
SBIN,586.25,2023-10-04 05:30:00,600.45,584.45,2023-10,600.0,24914612,SBI,BANKING,SBIN,2023
BAJFINANCE,7854.05,2023-10-04 05:30:00,8043.0,7820.0,2023-10,8025.0,1176384,BAJAJ FINANCE,FINANCE,BAJFINANCE,2023
TITAN,3166.65,2023-10-04 05:30:00,3205.0,3151.0,2023-10,3186.0,486969,TITAN,RETAILING,TITAN,2023
ITC,436.1,2023-10-04 05:30:00,441.7,433.3,2023-10,439.75,13396709,ITC,FOOD & TOBACCO,ITC,2023
TCS,3537.75,2023-10-04 05:30:00,3548.0,3477.3,2023-10,3486.3,1788138,TCS,SOFTWARE,TCS,2023
LT,3027.75,2023-10-04 05:30:00,3064.1,2990.05,2023-10,3064.1,3100946,L&T,ENGINEERING,LT,2023
TATACONSUM,854.13,2023-10-04 05:30:00,859.17,844.5,2023-10,856.36,615431,,,,2023
RELIANCE,1157.08,2023-10-04 05:30:00,1159.5,1147.55,2023-10,1154.5,10286386,RELIANCE IND.,ENERGY,RELIANCE,2023
HCLTECH,1239.55,2023-10-04 05:30:00,1244.8,1225.0,2023-10,1234.0,2253785,HCL TECHNOLOGIES,SOFTWARE,HCLTECH,2023
JSWSTEEL,756.6,2023-10-04 05:30:00,768.0,753.15,2023-10,767.95,1654158,JSW STEEL,STEEL,JSWSTEEL,2023
ULTRACEMCO,8120.85,2023-10-04 05:30:00,8292.55,8045.05,2023-10,8292.55,884369,ULTRATECH CEMENT,CEMENT,ULTRACEMCO,2023
POWERGRID,199.0,2023-10-04 05:30:00,199.4,195.4,2023-10,198.9,14120040,POWER GRID,POWER,POWERGRID,2023
INFY,1444.35,2023-10-04 05:30:00,1449.95,1418.2,2023-10,1425.0,4510406,INFOSYS,SOFTWARE,INFY,2023
TRENT,2022.3,2023-10-04 05:30:00,2055.95,2007.6,2023-10,2054.0,551771,TRENT,RETAILING,TRENT,2023
BHARTIARTL,924.25,2023-10-04 05:30:00,925.95,918.3,2023-10,918.3,5603669,,,,2023
TATAMOTORS,613.6,2023-10-04 05:30:00,620.8,608.3,2023-10,620.8,7612709,TATA MOTORS,AUTOMOBILES,TATAMOTORS,2023
WIPRO,404.9,2023-10-04 05:30:00,405.45,400.65,2023-10,402.7,3452935,WIPRO,SOFTWARE,WIPRO,2023
TECHM,1205.0,2023-10-04 05:30:00,1215.5,1186.05,2023-10,1210.0,2340603,TECH MAHINDRA,SOFTWARE,TECHM,2023
NTPC,235.15,2023-10-04 05:30:00,241.0,231.5,2023-10,241.0,25424437,NTPC,POWER,NTPC,2023
HINDUNILVR,2507.85,2023-10-04 05:30:00,2511.05,2465.15,2023-10,2467.05,1587335,HINDUSTAN UNILEVER,FMCG,HINDUNILVR,2023
APOLLOHOSP,5047.4,2023-10-04 05:30:00,5096.85,4982.3,2023-10,5085.0,442482,APOLLO HOSPITALS,MISCELLANEOUS,APOLLOHOSP,2023
M&M,1522.1,2023-10-04 05:30:00,1537.9,1501.75,2023-10,1531.8,2580901,M&M,AUTOMOBILES,M&M,2023
GRASIM,1888.34,2023-10-04 05:30:00,1902.44,1869.62,2023-10,1898.45,687673,GRASIM,TEXTILES,GRASIM,2023
ICICIBANK,930.05,2023-10-04 05:30:00,935.5,925.0,2023-10,935.0,17334739,ICICI BANK,BANKING,ICICIBANK,2023
ADANIENT,2464.95,2023-10-04 05:30:00,2502.75,2392.25,2023-10,2402.2,2857377,,,,2023
ADANIPORTS,824.6,2023-10-04 05:30:00,845.45,819.35,2023-10,830.95,4096647,ADANI PORTS & SEZ,MISCELLANEOUS,ADANIPORTS,2023
BEL,138.85,2023-10-04 05:30:00,139.15,136.55,2023-10,138.0,14912053,BHARAT ELECTRONICS,DEFENCE,BEL,2023
BAJAJFINSV,1532.55,2023-10-04 05:30:00,1555.85,1521.15,2023-10,1555.0,1614123,BAJAJ FINSERV,FINANCE,BAJAJFINSV,2023
EICHERMOT,3400.9,2023-10-04 05:30:00,3408.95,3323.75,2023-10,3350.0,566983,EICHER MOTORS,AUTOMOBILES,EICHERMOT,2023
COALINDIA,287.95,2023-10-04 05:30:00,291.5,285.9,2023-10,290.8,6338888,COAL INDIA,MINING,COALINDIA,2023
MARUTI,10129.8,2023-10-04 05:30:00,10283.9,10090.0,2023-10,10283.9,407793,MARUTI SUZUKI,AUTOMOBILES,MARUTI,2023
INDUSINDBK,1401.3,2023-10-04 05:30:00,1428.5,1386.2,2023-10,1424.85,3978667,INDUSIND BANK,BANKING,INDUSINDBK,2023
ASIANPAINT,3169.9,2023-10-04 05:30:00,3189.0,3151.35,2023-10,3164.95,892584,ASIAN PAINTS,PAINTS,ASIANPAINT,2023
TATASTEEL,125.3,2023-10-04 05:30:00,127.1,124.5,2023-10,127.0,33272725,TATA STEEL,STEEL,TATASTEEL,2023
HDFCLIFE,625.5,2023-10-04 05:30:00,632.0,624.25,2023-10,631.0,2357914,HDFC LIFE INSURANCE,INSURANCE,HDFCLIFE,2023
DRREDDY,1083.56,2023-10-04 05:30:00,1099.8,1080.3,2023-10,1093.0,2109530,DR. REDDYS LAB,PHARMACEUTICALS,DRREDDY,2023
SUNPHARMA,1123.8,2023-10-04 05:30:00,1139.0,1113.0,2023-10,1138.1,1803871,SUN PHARMA,PHARMACEUTICALS,SUNPHARMA,2023
KOTAKBANK,1722.05,2023-10-04 05:30:00,1727.0,1709.0,2023-10,1715.0,6220979,KOTAK MAHINDRA BANK,BANKING,KOTAKBANK,2023
SHRIRAMFIN,1850.6,2023-10-04 05:30:00,1919.95,1841.5,2023-10,1909.0,1340167,SHRIRAM FINANCE,FINANCE,SHRIRAMFIN,2023
NESTLEIND,2298.62,2023-10-04 05:30:00,2335.88,2255.1,2023-10,2280.51,2134880,NESTLE,FOOD & TOBACCO,NESTLEIND,2023
ONGC,182.75,2023-10-04 05:30:00,184.6,182.1,2023-10,184.45,9360058,ONGC,ENERGY,ONGC,2023
CIPLA,1167.05,2023-10-04 05:30:00,1185.0,1161.3,2023-10,1178.1,999123,CIPLA,PHARMACEUTICALS,CIPLA,2023
BPCL,170.68,2023-10-04 05:30:00,172.48,169.78,2023-10,170.68,6049760,BPCL,ENERGY,BPCL,2023
