,Ticker,month,open,close,monthly_return
13,ADANIENT,2024-11,2960.0,2228.0,-24.72972972972973
27,ADANIPORTS,2024-11,1386.5,1136.75,-18.012982329606924
41,APOLLOHOSP,2024-11,7022.7,6935.1,-1.2473834849844
55,ASIANPAINT,2024-11,2958.0,2472.2,-16.423258958755923
69,AXISBANK,2024-11,1164.05,1142.4,-1.8598857437395186
83,BAJAJ-AUTO,2024-11,9905.0,9481.65,-4.274103987884911
97,BAJAJFINSV,2024-11,1762.0,1600.85,-9.145856980703751
111,BAJFINANCE,2024-11,6930.0,6683.95,-3.5505050505050533
125,BEL,2024-11,286.65,280.85,-2.0233734519448645
139,BHARTIARTL,2024-11,1620.0,1569.3,-3.1296296296296324
153,BPCL,2024-11,311.95,285.85,-8.366725436768702
167,BRITANNIA,2024-11,5768.55,4848.35,-15.95201567118253
181,CIPLA,2024-11,1565.1,1486.5,-5.022043319915655
195,COALINDIA,2024-11,454.65,414.05,-8.929946112394143
209,DRREDDY,2024-11,1280.0,1214.45,-5.1210937499999964
223,EICHERMOT,2024-11,4984.85,4986.2,0.0270820586376612
237,GRASIM,2024-11,2719.0,2598.65,-4.42625965428466
251,HCLTECH,2024-11,1777.0,1898.4,6.831738885762527
265,HDFCBANK,2024-11,1733.0,1745.6,0.7270628967109007
279,HDFCLIFE,2024-11,721.95,688.2,-4.674838977768543
293,HEROMOTOCO,2024-11,5039.7,4794.1,-4.873305950751026
307,HINDALCO,2024-11,687.5,652.1,-5.149090909090906
321,HINDUNILVR,2024-11,2543.95,2445.25,-3.879793234929925
335,ICICIBANK,2024-11,1289.95,1278.05,-0.9225163766037513
349,INDUSINDBK,2024-11,1061.45,998.2,-5.958829902491874
363,INFY,2024-11,1764.5,1902.25,7.806744120147351
377,ITC,2024-11,491.0,474.65,-3.32993890020367
391,JSWSTEEL,2024-11,969.9,977.35,0.7681204247860651
405,KOTAKBANK,2024-11,1739.6,1761.45,1.2560358703150227
419,LT,2024-11,3624.95,3603.5,-0.5917322997558537
433,M&M,2024-11,2780.0,3012.95,8.379496402877692
447,MARUTI,2024-11,11150.0,11063.6,-0.7748878923766783
461,NESTLEIND,2024-11,2292.9,2247.3,-1.9887478738715123
475,NTPC,2024-11,412.0,365.45,-11.298543689320391
489,ONGC,2024-11,269.8,245.6,-8.96960711638251
503,POWERGRID,2024-11,322.45,336.95,4.4968212125911
517,RELIANCE,2024-11,1333.05,1265.4,-5.07482840103521
531,SBILIFE,2024-11,1639.4,1485.15,-9.408930096376723
545,SBIN,2024-11,822.4,816.05,-0.7721303501945553
559,SHRIRAMFIN,2024-11,3159.0,2850.05,-9.779993668882552
573,SUNPHARMA,2024-11,1860.0,1795.3,-3.4784946236559167
587,TATACONSUM,2024-11,1002.55,945.2,-5.720412946985179
601,TATAMOTORS,2024-11,847.95,791.0,-6.71619788902648
615,TATASTEEL,2024-11,149.66,142.78,-4.597086729921152
629,TCS,2024-11,3989.85,4244.6,6.38495181523116
643,TECHM,2024-11,1619.0,1747.45,7.933909820877087
657,TITAN,2024-11,3304.0,3308.7,0.14225181598062403
671,TRENT,2024-11,7153.95,6652.8,-7.005220891954789
685,ULTRACEMCO,2024-11,11080.0,11375.3,2.6651624548736397
699,WIPRO,2024-11,551.7,571.65,3.616095704187045
