<<<<<<< HEAD
Ticker,close,date,high,low,open,volume,daily_return,cumulative_return,yearly_return,volatility,monthly_return
SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,596.6,15322196,0.0,0.0,7.6181696278913735,0.017939344821740196,-5.204492122024818
BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,7780.8,944555,0.0,0.0,-5.822666049763522,0.01591849489773447,-3.7033466995681747
TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,3148.8,1007308,0.0,0.0,16.72541920731706,0.014135893038630176,1.2973196138211354
ITC,439.75,2023-10-03 05:30:00,442.9,439.25,441.0,7481883,0.0,0.0,4.784580498866219,0.011943702458319614,-2.857142857142862
TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,3534.2,1948148,0.0,0.0,7.334050138645246,0.013161771587106071,-4.68139890215607
LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,3040.5,3254492,0.0,0.0,15.967768459135009,0.01696390415004649,-3.665515540207197
TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,859.32,1168848,0.0,0.0,24.919703951962013,0.0148047736681353,3.5050970534841506
RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,1164.97,8859056,0.0,0.0,10.944487840888605,0.013562067130073357,-1.8043383091410063
HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,1232.5,2162636,0.0,0.0,18.953346855983767,0.014294650681131723,3.5294117647058822
JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,776.55,1099773,0.0,0.0,13.353937286716896,0.016383932356722215,-5.1767432876183035
ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,8289.0,454402,0.0,0.0,26.710097719869708,0.01431459670688822,1.607552177584751
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,198.75,10830728,0.0,0.0,19.34591194968553,0.018671442296664318,1.710691823899374
INFY,1434.0,2023-10-03 05:30:00,1437.0,1420.3,1436.05,4181867,0.0,0.0,7.440548727412008,0.014491913053868204,-4.710838759096123
TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2074.3,543387,0.0,0.0,47.27618955792313,0.023073798932652153,3.876006363592519
BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,918.25,4338272,0.0,0.0,12.409474543969512,0.013624507728829288,-0.41927579635175855
TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,632.6,6894577,0.0,0.0,23.292760037938667,0.01787650515641716,-0.6244072083465136
WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,406.45,2864052,0.0,0.0,15.955222044531927,0.017467886281905282,-6.06470660597859
