Ticker,year,first_open,last_close,yearly_return
TRENT,2024,3061.8,6652.8,117.28395061728394
M&M,2024,1729.4,3012.95,74.21938244477852
BHARTIARTL,2024,1031.95,1569.3,52.07132128494596
BEL,2024,184.8,280.85,51.97510822510822
TRENT,2023,2074.3,3054.95,47.27618955792313
SUNPHARMA,2024,1261.0,1795.3,42.37113402061855
POWERGRID,2024,237.9,336.95,41.635140815468674
BAJAJ-AUTO,2024,6770.0,9481.65,40.053914327917276
SHRIRAMFIN,2024,2055.55,2850.05,38.65145581474545
TECHM,2024,1273.0,1747.45,37.27022780832679
