Ticker,year,first_open,last_close,yearly_return
INDUSINDBK,2024,1598.95,998.2,-37.57153131742706
ASIANPAINT,2024,3403.0,2472.2,-27.352336173964154
ADANIENT,2024,2852.3,2228.0,-21.887599481120503
NESTLEIND,2024,2665.0,2247.3,-15.673545966228886
TATACONSUM,2024,1080.42,945.2,-12.515503230225283
TITAN,2024,3689.0,3308.7,-10.309026836541072
BRITANNIA,2024,5339.0,4848.35,-9.189923206592988
BAJFINANCE,2024,7336.95,6683.95,-8.900156059397979
HINDUNILVR,2024,2663.85,2445.25,-8.206167764701462
KOTAKBANK,2024,1909.0,1761.45,-7.7291775798847535
